- kgethegilego	special
- leabela	genetic
- lefišwego motšhelo / - lefišwego lekgetho	tax-free
- letlalong	topical
-a se nago wili / -a hlokago wili	intestate / see testate
-aga sehlaga	nest
-ahlola	judge
-ala dikgopolo	brainstorm
-alafago bana	paediatric / pediatric
-aloga	graduate
-amago mmele ka moka	systemic
-amegago le kokwananatlhoko	viral
-amogela	accept
-ba gona	accompany
-ba le botho / molwela ditokelo tša batho	humanitarian
-bedi / bobedi	dual / dual-purpose
-befilego	ugly
-belaela / -ngongorega	complain
-belaelago	anxious
-belegago nabjo / -tswalwago nabjo / -tlhago	congenital
-betela	smother
-boakheropete / -botsarogi	acrobatic
-bodumedi	religious
-boelana / -tshwarelano	reconcile
-bogale	harsh
-bogologolo / -kgale	ancient
-bogologolo / -setlelasiki	classical
-bohlale	wise
-boka	flick
-bokgoni bja go ithomela	creative
-bokoa	vulnerable
-boloka	save
-bonela pele	predict
-bosetšhaba	national
-botaki	artistic
-botega	honest
-botegago / -tshepegago	reliable
-botegego	dishonest
-botegelago	loyal
-botswerere	excellent
-botswerere	tidy
-bouta	cast a ballot / cast a vote
-boutela bonkgetheng	vote into office
-bošaedi	reckless
-buna	harvest
-buša	govern / rule
-dikologa	rotate
-dikološa	twirl
-dilego ka teng	gastrointestinal
-dira modumo wa go kwagalela fase	muffle
-diragatša	accrue
-diragatša	implement
-diragatša	perform
-diragatša / -bapala / -raloka	act
-dirišampe	exploit
-dirišana	interact
-diša	shepherd
-eka	backstab / to stab in the back
-eka	betray
-ekiša	mime
-eta	travel
-fediša	abolish
-fela pelo	impatient
-felegetša	accompany
-fetelago	contagious
-fetetšago	infectious
-fetofetogago	labile
-fihlelela	achieve
-filwe talente / -filwe mpho	talented
-fodišago	therapeutic / therapeutical
-fofa / -taboga	jump
-gakantšha	distract
-gakantšhago	tricky
-gakantšhago / -raraganego	intricate
-gare ga dillaga tša letlalo	intradermal
-gare ga ditšhika madi	intravenous
-gare ga mešifa / -gare ga digoba	intramuscular
-gegea / -kodutla	mock
-go ikgantšha	proud
-go se kgahliše	lacklustre
-go se kgahliše	terrible
-go se lokele tsela	unroadworthy
-go se tsene ke meetse	waterproof
-gobatša	hurt
-golofatša	paralyse
-gwanta	march
-hlakiša	ill-treat
-hlama	invent
-hlaola	isolate
-hlasela / -šwahlela	invade
-hlatloša	promote
-hlohleletša	persuade
-hloka šedi	carefree
-hlokago sekoloto / -hlokago mokitlana	debt-free
-hlokago tswala	interest-free / interest-free credit
-hlokagotwatši	aseptic
-hlokomedišiša	concentrate
-hlokomela	support
-hlokomelago	considerate
-hlolago bokgoba / -boneelela	addictive
-hlolago bokgoba / -lemago	habit-forming
-hlolela / -tšwelela	protrude
-hlompha	respect
-hlotša	hobble
-hloyago	hostile
-holana	resourceful
-holofela	trust
-huduša	evacuate
-huetša	affect
-ikgonago	self-sufficient
-iletša	ban
-inaganelago o noši	selfish
-ipelaetša	demonstrate
-itefeletša	revenge
-itlwaetša	orient / orientate
-itšhidulla	exercise
-ka gare	indoor
-ka mehla	regular
-ka ntle	outdoor
-kalafo / -bongaka	clinical
-kaonafatša	improve
-katana	struggle
-kaya	symbolise
-kekema / -tšhekamediša	tilt
-kgakanegong / -tlalelong	stranded
-kgala / -kgalemela	reprimand
-kgamakgametša / -koakoa	stammer / stutter
-kgaroša / -kgaroga	freak
-kgethegilego	sacred
-kgobokanya / -kgoboketša	collect
-kgokagana	communicate
-kgona	manage
-kgonago go ngwala le go bala	literate
-kgonthišiša	verify
-kgopela tshwarelo	apologise
-kgopolo / -monagano	mental
-kgorogela	rampage
-khutša / -iketla	relax
-khwaere	choral
-kibela	accompany
-kitima	sprint
-kokobetša	depress
-kopana	converge
-kopana / -nkiditlana	stumpy
-kotsi	dangerous
-kotsi	malignant
-kudupana / -hudupana	huddle
-kwalakwatša	advertise
-kwana	compromise
-kwera / -rumola	taunt
-laetša	demonstrate
-lala o laotšwe / -bolala o laotšwe	alert
-lapa	tired
-lapišago / lapiša	strenuous
-lebanego / -nepagetšego	appropriate
-leboga / -thabela	appreciate
-lefegago / -patelegago	payable
-lefišwego motšhelo / -lefišwego lekgetho	tax-free
-leka	tempt
-lekola	assess
-lekola	evaluate
-lemoga	aware
-letlalong	topical
-loka	kind
-lwala	sick
-maleme	linguistic
-masepala	municipal
-maswafo	pulmonary
-matlotlo	fiscal
-mmeleng	in vivo
-molomo	verbal
-monago meetse	hygroscopic
-moswananoši	unique
-mpa	abdominal
-naganišiša	consider
-nago le phepo	nutritional / nutritive
-nago le wili	testate / see intestate
-nakong	punctual
-neela	donate
-nepa	aim
-nepagetšego	correct
-ngala	sulk
-ngwadišitšwego	listed
-ngwathanyana / -kgera	nip
-nko	nasal
-nngwe	another
-nola moko / -nyamiša	discourage
-nolega mooko / -ngenega	falter
-ntšhiwago go fetiša tekano	overdrawn
-nyakišiša / -šitolla	scan
-nyamilego kudu	miserable
-nyenyane	minute
-nyenyane / -bonwago fela ka maekherosekoupu	microscopic
-nyorilwego	thirsty
-ona	snort
-opa magoswi / -phaphatha matsogo	clap
-opela	sing
-otišina / -iteka	audition
-paka	bake
-palega	crack
-paola	bowl
-pele ga pelego	prenatal
-pelego	obstetric
-phadišana / -phenkgišana	compete
-phepheula	flutter
-phološa	rescue
-potuma / otsela	sleepiness
-raka	evict
-raka	expel
-rapela	pray
-rapela	worship
-rarolla	resolve
-rata	love
-ratago meetse	hydrophilic
-rategago	popular
-rekega	affordable
-rekhota	record
-roga	insult
-rora	snarl
-ruthetša mmele	warm up
-sa lefišwego motšhelo	tax liability
-saentshe	scientific
-se ele tlhoko / -se hlokomele	inconsiderate
-se eme felo go tee	inconsistent
-se fetetšege	immune
-se kgahliše	nasty
-se kgahliše / -leša bodututu	boring
-se nago kotsi	innocuous / harmless
-se obamele	disobedient
-se tshepe	distrust
-se šetše / -hlokomologa	ignore
-sebopego sa lenalana	crescent
-segiša	amuse
-seketšago	thrifty
-selegae	rural
-semoya	spiritual
-senya / -fediša	ruin
-setoropo	urban
-setšo	cultural
-setšo / setlogo	traditional
-some	deca
-subela ga letšatši	sunset
-swabilego / -nyamilego	sad
-swabiša / -poula	embarrass
-swarwa ke tlala	hungry
-taba	tint
-taboga / -fofa	skip
-taka ka esiti	etch
-tantsha / -bina	dance
-temokerasi	democratic
-tenega / selegeka	spiteful
-tenegago	bitter
-thabiša / -kgahliša	excite
-thakga / -thakga	decorate
-thakgetšego / -thabilego	happy
-thatafatša / -hlakahlakanya	complicate
-thekga	support
-thinyega	sprain
-thopa	abduct
-thopa	capture
-thwala	employ
-tiiša	enforce
-tlhohleletšo	cheer
-tlhokago kotsi	benign
-tlhokago legae	homeless
-tlhompho	polite
-tlogela	vacate
-tlogela tlalelong	strand
-tlolatlola	hop
-tologago ka meetseng	hydrosoluble / water soluble
-tološwago nolo	eutectic
-totompetša	juggle
-tsebafela / -monafalela	jealous
-tsebago dipalo	numerate
-tsebiša	declare
-tsebiša	inform
-tsenela	run for
-tsepanya	focus
-tsepelela	stare
-tshepegago	faithful
-tshonnego / -phuhlamego	insolvent
-tshotlo / -tlaišo	abusive
-tshwenya	disturb
-tumilego	famous
-tura	expensive
-tšeomethiri	geometric
-tšhantha / -opela koša ya go rethetha mantšu a go swana	chant
-tšhedišegago / -tšhedišwago	taxable
-tšhoga / -se dudišege	tense
-tšhogile / -tshwenyegilego	nervous
-tšhoša	frighten
-tšutlatšutla	jerky
-tšwago dipheding	organic
-tšweletša / -hlagiša	express
-utswa	steal
-utswa ka lebenkeleng	shoplift
-wa	collapse
-wa boikarabelo	accountable
-ya go ile / -ka go sa felego	eternal
-šitišago paketheria	antibacterial
-šokela / -kwela bohloko	empathise
-šupa	point
-šwalalanya	devastating
AZT / diokobatši tša pele tša go fiwa balwetši ba AIDS	AZT / ZDV / zidovudine / Retrovir
Afrika Borwa	South Africa / SA
Afrikafatšo	Africanisation
Agostose	August
Aprele	April
Aum / Modimo ka Sehintu	Aum
BEE / Maatlafatšo ya Bathobaso ekonoming	black economic empowerment / BEE
Bobuša bja Bofasisi / Bobuša bja Fasisime / Pušonoši ya Bofasisi / Pušonoši ya Fasisime	Fascism
Bokeresete	Christianity
Bolaodi bja Bosekiši bja Setšhaba	National Prosecuting Authority / NPA
Bomaksisi	Marxism
Boto ya Dipolelo Tšohle tša Afrika Borwa	Pan South African Language Board / PanSALB
Botšo bja Yuropa	Eurocentric
CAF / Lekgotlakopano la Kgwele ya Maoto la Afrika / Lekgotlakopano la Kgwele ya Dinao la Afrika	CAF / African Football Confederation
CCMA / Khomišene ya Kagišo, Poelano le Bonamodi / Khomišene ya Kagišo, Poelano le Bolamodi	Commission for Conciliation, Mediation and Arbitration / CCMA
CD	CD / compact disc
COSAFA / Lekgotlataolo la Mokgatlo wa Kgwele ya maoto ya Borwa bja Afrika	Confederation of Southern African Football Associations / COSAFA
DNA tswakwa	recombinant DNA / rDNA
Dikhouto tša Kharikhulamo ya Bosetšhaba	National Curriculum Codes
Dipapadi tša Olimphiki	Olympic Games / Olympics
Disemere	December
Ditirelotšhoganetšo tša Bana	Child Emergency Services
Ditšhaba Kopano / UN	United Nations
EISA	Electoral Institute for Sustainable Democracy in Africa
EISA / Institute ya Dikgetho tša Tšwelopele ya Temokerasi ka Afrika	Electoral Institute for Sustainable Democracy in Africa
FIFA / Mokgatlokopano wa Boditšhabatšhaba wa Kgwele ya Maoto	Fédération Internationale de Football Association / Federation of International Football Associations / FIFA
Febereware	February
Fesetibale ya Bokgabo ya Bosetšhaba	National Arts Festival
Free Kiba / mebino ya merafe ya go fapafapana	Free Kiba
HAART / kalafi yeo e tseneletšego ka diokobatši tša go ditela HIV	HAART / highly active antiretroviral therapy
Hanukkah / moketeko wa phenyo wa Majuta ge ba thopa tempele ya bona gape	Hanukkah
ID / pukwana ya boitsebišo	identity document / ID / ID book / ID document / identity book
Inthanete	Internet
Janaware	January
Judaism / tumelo ya Sejuta	Judaism
Julae	July
