- bodumedi	religious
- bolang ka bonako	biodegradable
- bonatsang	clear
- fetisitse / phitisokgogomadi	overdrawn
- gale / ka tlhomamo	regular
- itsege / - ratega	popular
- ka nnang	approximately
- kalafolwetse	therapeutic / therapeutical
- kgabisa	decoration
- kgethegileng	special
- kgethisiweng	tax-free
- kgwebo	commercial
- loileng	concentrated
- matlotlo	fiscal
- mepoto kgotsa mekwatlana / - makokobiswana	corrugated
- molomo	verbal
- mpaananeng	vulnerable
- nna mo nakong	punctual
- pele ga ditlhopho	pre-election
- puo	linguistic
- sa siamela tsela / sekorokoro	unroadworthy
- sa tsenyeng mowa	airtight
- seileketeroniki	electronic
- selennere	cylindrical
- semowa	spiritual
- seng molaong	illegal
- thurugoteng / - thurugomala	gastrointestinal
- tlhagiso	productivity
- tlhaloganyo	mental
- tlhokakotsi	benign
- tlhokalato / - tlhokakoloto	debt-free
- tlhokamorokotso / - tlhokatsalo	interest-free / interest-free credit
- tlhoma - kabinete	appoint the cabinet
- tlodisa kgwele / - kuka kgwele	lob the ball
- toropo	urban
- tsaya karolo ka go lekana / botsayakarolo ka tekatekano	equal participation
- tshasa mmala / fifatsa / sirapono	tint
- tshitametsi	waterproof
- tshwaya ka enke	inking
- ya alekale	alkaline
-agegileng sentle	well-developed
-akgaakgegang	oscillating
-amogelang osoune	ozone-friendly
-apogileng	clear
-bapileng	adjacent
-bapileng	parallel
-belegisa	obstetric
-bobedi	second
-boboaditse	downy
-boditsana / -mabudunyana	fluffy
-boeletsa	chant
-bogabedi / -terasi	bisexual
-bogodimo	altitude
-bokgwabo	tame
-bokoa, -fokola	unhealthy
-bolayang	fatal
-boleele	longitudinal
-bolepolepo, -borerepa	slimy
-bonalang	visible
-bonetetshi / -sesaense	scientific
-bongbongwe	unisexual
-bongpedi	dual sexed
-borekere / -ngaologa	elastic
-bosula, -senang tatso, -botlhasula	tasteless
-bothitho	thermal
-bothito	warm
-botho	humanitarian
-botlhami	creative
-botlhole	poisonous
-botshipi	ferrous
-botswatsalong	congenital
-botsweretshi / -botaki	artistic
-demokerasi	democratic
-dikotla	nutritional / nutritive
-dipaterone	patterned
-dira kagiso / tsereganyo / tetlanyo	peacekeeping
-dira lekgobla / -tshwakgola	addictive
-disa	shepherd
-ditshika	venous
-duelwang	payable
-e e motopo	ellipsoid
-emela	represent
-emelanang	resistant
-emeng	stationary
-etegelang / -topegelang	malignant
-fetofetogang	labile
-filwe / -abetswe	talented
-fosagetse	wrong
-gagametseng	taut
-gale / -metlha	regular
-gare	indoor
-gare	middle
-gare ga llagatlalo	intradermal
-gare ga mesifa	intramuscular
-garemeselomadi	intravenous
-gasa	broadcast
-gogela / -tlwaetsa	habit-forming
-golaganeng	connective
-golagantsweng	online
-golo	maximum
-gologolo / -kgale / -maloba	ancient
-golokwe	spherical
-gwetlha / tlhasela motshamekakgatlhanong go tswa kwa morago	charge an opponent from behind
-humanegile / -tshonne	insolvent
-ikanyega	honest
-ikgatolosa / -boekhota / -ngala	boycott
-itlamelang / -itirelang dijo	autotrophic
-ja ntsoma	exploit
-ka fa teng	internal
-ka fetolang	degradable
-ka losika / thekegelosika	nepotism
-ka mela	linear
-kae	how many
-kalafi	clinical
-kalafo ya bana	paediatric / pediatric
-kapisa	juggle
-kgakolositsweng	molten
-kganyang	fluorescent
-kgathale / phuthulogile	carefree
-kgethegileng / -itshepisitsweng	sacred
-kgethisegang / -kgethisega	taxable
-kgogelatshipi	ferromagnetic
-kgogoropo	curved
-kgogoropo / -khrisente	crescent
-kgomarelang, -mamarelang	sticky
-khemo	respiratory
-khoniferase / -ungwatopo	cone-bearing
-khutlang	terminal
-khutlonnetsepa	rectangular
-khwaere	choral
-kitsopalo	numerate
-kitsopuisokwalo	literate
-kolobileng, -metsi	wet
-komota	solid
-kutlopono	audio-visual
-kwadisitswe	listed
-latelang	next
-leele	tall
-lefatshe ka bophara	worldwide
-lefufa / -monafala / -fufega	jealous
-lekanang / selekani / lekanang	equivalent
-lekgoro	classical
-letlhamelwasetsheng / -popelwasetsheng	cast-in-place
-letswatsana	brackish
-lofofa / -diphofa	feathery
-mabobo / -iketlile	comfortable
-madibothito	warm-blooded
-magareng	neutral
-maitsholomantle	good-natured
-makgwafo	pulmonary
-makokomantsi	multiparty
-mamarelang, -kgomarelang	viscous
-mapele / -matlase	genital
-mesifa	muscular
-metseng	rural
-metsu	spiky
-moafala	volatile
-modumo	volume
-moetlo	traditional
-mogare	viral
-monyomowa	hygroscopic
-mosola, -botlhokwa	valuable
-motlakase	electric
-motshope	spiral-shaped
-mpe	nasty
-mpeng	abdominal
-na le	contain
-naganela / -akanyetsa	considerate
-nang le kaboboswa / -nang le kabolefa	testate / see intestate
-nang le kgapetla, -nang le logapa, -nang le kgapa	shell-covered
-ngena / -tswafisa	boring
-ngokwangbongsele	heterosexual
-ngwe	another
-ngwe le -ngwe	each
-nitameng, -tlhomameng, -tsepameng	sturdy
-nko	nasal
-nna	become
-nneyennye	microscopic
-nnye	less
-nnye	small
-ntle	external
-ntle	outdoor
-ntle	outside
-ntsi	many
-ntsi	most
-ntsintsi	numerous
-nyumethiki	pneumatic
-obilweng / -konegileng / -kobegileng	bent
-omisitsweng ka phefo	wind-dried
-otlang	nutritious
-palo	numeral
-pedi	dual
-pedi	dual / dual-purpose
-pele ga pelego	prenatal
-pelelotlase / - yuthektik	eutectic
-phanele	panelled
-phatsimang, -galalelang, -tsabakelang	shiny
-phepa	aseptic
-posa	mail
-rekega	affordable
-rekitlhang	reciprocating
-remegang	inert
-sa kgethisiweng	tax-free
-sa tsheleng	inanimate
-sala / salela	remain
-salamorago	persuade
-sediko	circular
-sediko / -tshekeletsa	circle-shaped / circular
-segongwe	simultaneous
-sekameng	skew
-seng boteng, -lopapadia	shallow
-sengkotsi / -phepa	innocuous / harmless
-sengmolaong	illegal
-senya thata / -senya phetelela	devastating
-sephara	wide
-sesane	thin
-setlhamaganyane	systemic
-setso	cultural
-sodi / -bongola	damp
-some	deca
-someng	deci
-sotla	abusive
-soutile	immune
-swedietega / -temekang	flexible
-tekelelotsheding	in vivo
-telele	long
-temekang	supple
-temekang, -swedietegang	pliable
-tenegophetelelo / -tlhakatlhakana	miserable
-teng / -gare / legare	inside
-thiba / -kganela / -goma	insulate
-thobalano	sexual
-thunyang	flowering
-tla pele, -tlang pele	premature
-tlalong	topical
-tlase	low
-tlase -	under
-tletseng	charged
-tlhaelang	missing
-tlhagisagape	re-issue
-tlhaloganye / -utlwisise	misunderstanding
-tlhaologang	deliquescent
-tlhaologang, -tlhaolosega, -tlhapogang	soluble
-tlhaologometsing	hydrosoluble / water soluble
-tlhaologonolometsing	hydrophilic
-tlhatlhaganeng	layered
-tlhokakaboboswa / -senangkaboboswa / -senangwili	intestate / see testate
-tlhomameng	constant
-tlhomamisa	declare
-tlhopha o se yo	absentee voting / absentee ballot
-tlopelegileng, -loileng	saturated
-tsenya tshedimosetso	input
-tsepameng, -tsepamo	vertical
-tsetsepetseng / -tsepameng / -gagametseng	firm
-tshekeletsametopo	elliptical
-tshelana / -fetela	infectious
-tshelang	organic
-tshesane	narrow
-tshika	genetic
-tshupabolwetse	symptomatic
-tshwaetsa	contagious
-tshwaya	put a mark
-tsididi / -maruru	cold
-tsietsamolao	circumvent the law
-tsitsipane	tense
-tswa madi ganong	oral bleeding
-tswetsengpele / tswetsepele	progressive
-tuka / -tshuba / -fisa	burn
-tukang bonolo	flammable
-twantshamogare / -sebolayamogare	antibacterial
-tšhupu	tubular
-utlwalela	strenuous
-ya kgweding / bona kgwedi / tlhatswa	menstruate
-šwegašwega / -fafamoga / -tsaatseego	nervous
AZT	AZT / ZDV / zidovudine / Retrovir
