-ahlola judge
-aloga graduate
-amogela accept
-befilego ugly
-belaelago anxious
-betela smother
-bodumedi religious
-bogale harsh
-bohlale wise
-boka flick
-bokoa vulnerable
-boloka save
-bosetšhaba national
-botaki artistic
-botega honest
-botegego dishonest
-botegelago loyal
-botswerere excellent
-botswerere tidy
-bošaedi reckless
-buna harvest
-dikologa rotate
-dikološa twirl
-diragatša accrue
-diragatša implement
-diragatša perform
-dirišampe exploit
-dirišana interact
-diša shepherd
-eka betray
-ekiša mime
-eta travel
-fediša abolish
-felegetša accompany
-fetelago contagious
-fetetšago infectious
-fetofetogago labile
-fihlelela achieve
-gakantšha distract
-gakantšhago tricky
-gobatša hurt
-golofatša paralyse
-gwanta march
-hlakiša ill-treat
-hlama invent
-hlaola isolate
-hlatloša promote
-hlohleletša persuade
-hlokagotwatši aseptic
-hlokomedišiša concentrate
-hlokomela support
-hlokomelago considerate
-hlompha respect
-hlotša hobble
-hloyago hostile
-holana resourceful
-holofela trust
-huduša evacuate
-huetša affect
-ikgonago self-sufficient
-iletša ban
-ipelaetša demonstrate
-itefeletša revenge
-itšhidulla exercise
-kaonafatša improve
-katana struggle
-kaya symbolise
-kgethegilego sacred
-kgokagana communicate
-kgona manage
-kgonthišiša verify
-kgorogela rampage
-khwaere choral
-kibela accompany
-kitima sprint
-kokobetša depress
-kopana converge
-kotsi dangerous
-kotsi malignant
-kwalakwatša advertise
-kwana compromise
-laetša demonstrate
-lapa tired
-leka tempt
-lekola assess
-lekola evaluate
-lemoga aware
-letlalong topical
-loka kind
-lwala sick
-maleme linguistic
-masepala municipal
-maswafo pulmonary
-matlotlo fiscal
-molomo verbal
-moswananoši unique
-mpa abdominal
-naganišiša consider
-nakong punctual
-neela donate
-nepa aim
-nepagetšego correct
-ngala sulk
-ngwadišitšwego listed
-nko nasal
-nngwe another
-nyenyane minute
-nyorilwego thirsty
-ona snort
-opela sing
-paka bake
-palega crack
-paola bowl
-pelego obstetric
-phepheula flutter
-phološa rescue
-raka evict
-raka expel
-rapela pray
-rapela worship
-rarolla resolve
-rata love
-rategago popular
-rekega affordable
-rekhota record
-roga insult
-rora snarl
-saentshe scientific
-segiša amuse
-seketšago thrifty
-selegae rural
-semoya spiritual
-setoropo urban
-setšo cultural
-some deca
-taba tint
-temokerasi democratic
-tenegago bitter
-thekga support
-thinyega sprain
-thopa abduct
-thopa capture
-thwala employ
-tiiša enforce
-tlhohleletšo cheer
-tlhompho polite
-tlogela vacate
-tlolatlola hop
-totompetša juggle
-tsebiša declare
-tsebiša inform
-tsepanya focus
-tsepelela stare
-tshepegago faithful
-tshwenya disturb
-tumilego famous
-tura expensive
-tšeomethiri geometric
-tšhoša frighten
-tšutlatšutla jerky
-utswa steal
-wa collapse
-šupa point
-šwalalanya devastating
Afrikafatšo Africanisation
Agostose August
Aprele April
Bokeresete Christianity
Bomaksisi Marxism
Disemere December
Febereware February
Inthanete Internet
Janaware January
Julae July
Labobedi Tuesday
Labohlano Friday
Labone Thursday
Laboraro Wednesday
Matšhe March
Mei May
MoAfrika African
Mohindu Hindu
Mohlakišipharephare Auditor-General
Mokeresete Christian
Mokibelo Saturday
Mozulu Zulu
Mošupologo Monday
Nofemere November
Oktobere October
Paseka Easter
Phathaphatha Phata-Phata
Ramolaopharephare Attorney-General
Sabatha Sabbath
Sepikara Speaker
Setemere September
U-makenethe U-magnet
aba share
abaganya apportion
aga build
ahlama wide
akhaonte account
akone argon
alafa treat
alepamo album
aletare altar
aletši allergy
alfabete alphabet
amogela receive
amonia ammonia
amphoulu ampoule
ampulentshe ambulance
angwa affected
anthihistamaene antihistamine
anyuithi annuity
apogile clear
apolkose apricot
areka ark
arogana branch
ase axis
aseniki arsenic
asethoune acetone
asipirini aspirin
aterese address
athomo atom
atiša times
ayone ion
baahlodi jury
baerase virus
baka tackle
bakgethi electorate
baktheria bacterium
bala count
baniše varnish
banyatšegi underdogs
bapa adjacent
bapetša compare
bapetšego parallel
batamelana neighbour
bea set
beakanya arrange
beakanya sort
beiklaete bakelite
beke week
bela boil
betla sculpt
bikhara beaker
bilione billion
bithamine vitamin
bjala sow
bjalolla replant
bjalolla transplant
bjang grass
bjoko brain
boalo blinding
boalotheo footing
bobedi both
bobedi second
bobjana childhood
bobolokelo storage
bodidi poverty
bodikela west
bodudi citizenship
boeletša repeat
boemafofane airport
boemo rating
boentšenere engineering
boentšenerenano nano-engineering
bofefo light
bofofu blindness
bofokelaphefo downwind
bofokodi weakness
bogale courage
bogale pungent
bogale sharp
bogaleng blade
boganaphetogo conservatism
bogare centre
bogato tread
bogodimo height
bogodimo surface
bogogedi magnetism
bogolo adulthood
bogomapono horizon
bogomo level
bohlale wisdom
bohlano fifth
bohlatse evidence
bohlobo ethnicity
bohlodi intelligence
bohodu theft
bohumi wealth
boikalafo self-medication
boikarabelo accountability
boikgogelomorago abstention
boikhutšo recess
boikoketšo replication
boikokobetšo humility
boima heavy
boima load
boima mass
boima weight
boimafefo lightweight
boipapatšo branding
boipelaetšo appeal
boipelaetšo protest
boipontšho mirroring
boitekanelo fitness
boitemogelo experience
boithabišo entertainment
boithomedi initiative
boitlhahlobo self-testing
boitlhompho self-respect
boitsebišo identity
boitshepo confidence
boitshepo confident
boitšhidullo exercise
bojane hopper
bokagare inside
bokantle outside
bokapele foreground
bokapitale capitalism
bokgoba slavery
bokgobapuku library
bokgoni efficiency
bokgoni skill
bokgoni strengths
bokomonisi communism
bokopano joggle
bolaoditatelano bureaucracy
bolaya kill
bolekadigale adventure
bolekgolo hundredth
boleng value
boloka bury
boloka reserve
bolokegilego safe
bolume volume
bolwetši disease
bolwetšitlhobaelo insomnia
bomedišetšo nursery
bomedišetšo nutrient
bompholo toxicity
bonabophihlelo bandwidth
bonagala visible
bonagatšago clear
bonagatšago transparent
bong gender
bong sex
bongpedi bisexual
bongwaledi secretariat
bonolo simple
bontlesekabora extrados
bontšha show
bontšhi numerous
bontši mass
bontši most
bontši quantity
boopa infertility
bopepeneneng transparency
bophara breadth
bophara width
bophelo life
bophethišo executive
bophiri secrecy
bora bow
boraditaba media
boraga flock
borale ore
borekhu resin
boro drill
borofa paw
boroko sleep
boromolani aggression
borwa south
borwabohlabela south-east
borwana bradawl
bosenyi crime
boseramiki ceramics
boseswai eighth
boso black
boso weather
bosodi wane
botate fatherhood
botebo depth
botelele length
bothata hardness
bothata toughness
bothata trouble
botho humanity
botlalo detail
botlase bottom
botswa salinity
botswai salinity
botšiša ask
botšwamahlalagading puberty
botšweletši productivity
bouto vote
bowelamolora ashpit
boya coat
boya fur
boya wool
bošego night
bošegogare midnight
bupi meal
butšwa ripe
depiti debit
diaparamagapi cold-blooded
diaparo clothing
diaparo outfit
diatleletiki athletics
dibetlwa millwork
didirišwa hardware
difihlolo breakfast
dihlano fives
diintaseteri industry
dijo diet
dijo food
dijo foodstuff
dijo meal
dikabelo share
dikagare content
dikanetša surround
dikgetho election
dikgethotlaleletšo by-election
dikgomo cattle
dikokwana bacteria
dikologa spin
dikrafiki graphics
dilalelo dinner
dimela vegetation
dinne fours
dintlhakgolo headline
dintlo housing
diotlwa cud
dipaesekopo movies
dipeeletšo securities
dipela slap
diphahlokgwebišano merchandise
diphala brass
diphororo waterfall
dipoelo result
dipolitiki politics
dirapeng gravesite
diriša spend
dithala acne
ditherišano deliberations
ditherišano proceedings
dithotirišano system
dithunthwane seizure
dithuto qualification
ditlamorago consequence
ditseno revenue
ditshenyegelo expenditure
dišo thrush
dukeletšego curved
dumelela consent
dumelela qualify
eika agar
ekeserei X-ray
ekesereyi X-ray
eksisi axis
elekthromaknete electromagnet
elekthrone electron
elekthroniki electronic
elemente element
emego stationary
emela represent
enamele enamel
eneayone anion
enke ink
enthithi entity
entšene engine
eponi ebony
eritheromaesini erythromycin
esele easel
esiti acid
ethe earth
etheine ethane
ethimola sneeze
ethosetlerosisi otosclerosis
faeporosisi fibrosis
