-akgaakgegang oscillating
-apogileng clear
-bapileng adjacent
-bapileng parallel
-belegisa obstetric
-bobedi second
-boboaditse downy
-boeletsa chant
-bogodimo altitude
-bokgwabo tame
-bolayang fatal
-boleele longitudinal
-bonalang visible
-bongbongwe unisexual
-bothitho thermal
-bothito warm
-botho humanitarian
-botlhami creative
-botlhole poisonous
-botshipi ferrous
-botswatsalong congenital
-demokerasi democratic
-dipaterone patterned
-disa shepherd
-ditshika venous
-duelwang payable
-emela represent
-emelanang resistant
-emeng stationary
-fetofetogang labile
-fosagetse wrong
-gagametseng taut
-gare indoor
-gare middle
-garemeselomadi intravenous
-gasa broadcast
-golaganeng connective
-golagantsweng online
-golo maximum
-golokwe spherical
-ikanyega honest
-kalafi clinical
-kapisa juggle
-kgakolositsweng molten
-kganyang fluorescent
-kgogelatshipi ferromagnetic
-kgogoropo curved
-khemo respiratory
-khutlang terminal
-khutlonnetsepa rectangular
-khwaere choral
-kitsopalo numerate
-kitsopuisokwalo literate
-komota solid
-kutlopono audio-visual
-kwadisitswe listed
-latelang next
-leele tall
-lekgoro classical
-letswatsana brackish
-madibothito warm-blooded
-magareng neutral
-maitsholomantle good-natured
-makgwafo pulmonary
-makokomantsi multiparty
-mesifa muscular
-metseng rural
-metsu spiky
-moafala volatile
-modumo volume
-moetlo traditional
-mogare viral
-monyomowa hygroscopic
-motlakase electric
-motshope spiral-shaped
-mpe nasty
-mpeng abdominal
-ngokwangbongsele heterosexual
-ngwe another
-nko nasal
-nna become
-nneyennye microscopic
-nnye less
-nnye small
-ntle external
-ntle outdoor
-ntle outside
-ntsi many
-ntsi most
-ntsintsi numerous
-nyumethiki pneumatic
-otlang nutritious
-palo numeral
-pedi dual
-phanele panelled
-phepa aseptic
-posa mail
-rekega affordable
-rekitlhang reciprocating
-remegang inert
-salamorago persuade
-sediko circular
-segongwe simultaneous
-sekameng skew
-sengmolaong illegal
-sephara wide
-sesane thin
-setlhamaganyane systemic
-setso cultural
-some deca
-someng deci
-sotla abusive
-soutile immune
-telele long
-temekang supple
-thobalano sexual
-thunyang flowering
-tlalong topical
-tlase low
-tletseng charged
-tlhaelang missing
-tlhagisagape re-issue
-tlhaologang deliquescent
-tlhaologonolometsing hydrophilic
-tlhatlhaganeng layered
-tlhomameng constant
-tlhomamisa declare
-tshekeletsametopo elliptical
-tshelang organic
-tshesane narrow
-tshika genetic
-tshupabolwetse symptomatic
-tshwaetsa contagious
-tsitsipane tense
-tšhupu tubular
-utlwalela strenuous
Aforikafatso Africanisation
Bokeresete Christianity
Chaena China
Diphalane October
Inthanete Internet
Jeremane Germany
Labobedi Tuesday
Labone Thursday
Laboraro Wednesday
Lwetse September
Maswati emaSwati
Matebele amaNdebele
Mathosa amaXhosa
Matsonka Vatsonga
Mavenda Vhavenḓa
Moaforika African
Mohindu Hindu
Mokeresete Christian
Momoseleme Muslim
Mopitlwe March
Moranang April
Morunikakaretso Auditor-General
Mosupologo Monday
Motsheganong May
Mozulu Zulu
Ngwanatsele November
Ntwa Struggle
Paseka Easter
Phathaphatha Phata-Phata
Phatwe August
Phukwi July
Ramolaokakaretso Attorney-General
Sabata Sabbath
Sedimonthole December
Seetebosigo June
Sehindu Hinduism
Senkuni Nguni
Silothekese Celotex
Thora Torah
Tlhakole February
Yuropa Europe
abelana share
adima loan
aebi ivy
aga build
akanyetsa design
akerileiti acrylate
akgaakga oscillate
akone argon
alebaterose albatross
alebumini albumin
alefabete alphabet
alekale alkali
aletara altar
aletsa line
aloga graduate
altho alto
amanang relative
amegile affected
amoganya insulate
amogela earn
amogela receive
amogelesega acceptable
amonia ammonia
anaanya barter
anaanya exchange
anamisa diversify
anayone anion
anoute anode
antihistamaene antihistamine
apole apple
apolekosi apricot
areka ark
aroganya apportion
arolega divisible
ase axis
asethoune acetone
aterese address
atheropoto arthropod
athiki attic
athomo atom
atisa multiply
atlhola judge
atolosa expand
ayodini iodine
ayone ion
baagi community
baagi population
baatlhodi panel
badiragatsimmogo ensemble
baje barge
bajerika budgerigar
bala count
balela calculate
baniši varnish
bantatshipi strap
banyatsegi underdogs
baola bowl
bapileng neighbour
bapileng parallel
bapisa compare
bareki market
batlhophi electorate
bayopsi biopsy
bebentsha mime
beela lay
beikilaete bakelite
beisi base
bekere beaker
bemekhulaete vermiculite
bena banner
bensine benzine
berebere latch
bese bus
betla sculpt
bilete billet
bilione billion
bithamine vitamin
biyurete burette
boagi citizenship
boaletso blinding
boalo area
boalo face
boalo floor
boalo surface
bobaba hostile
bobedi twos
boboa fur
boboa wool
boboko brain
bobowa coat
bobusaesi Fascism
bodumedi religion
bodutelo reservoir
boeletsa repeat
boemo class
boemopono parallax
boenjenere engineering
boetsisi impersonation
bofisika physical
bofofu blindness
bofokelaphefo downwind
bogare centre
bogato pad
bogatsu analgesia
bogobe porridge
bogodimo level
bogodimokgato riser
bogodu theft
bogodulebenkeleng shoplifting
bogole deformity
bogolo adulthood
bogolo mass
bogwata hoarseness
boikgopolo selfish
boikuelo appeal
boima mass
boimana antenatal
boimaphetelela overweight
boimatlase underweight
boimatlhofo lightweight
boipelaetso protest
boiphediso career
boipuso freedom
boithutatempe philately
boitshupo identity
boitumediso entertainment
bojangthulelo thatch
boka flick
bokaedi directorate
bokalaka alkalinity
bokana amount
bokanakang quantity
bokao meaning
bokapitale capitalism
bokete heavy
bokgakga nicotine
bokgoni efficiency
bokgoni skill
bokgoni virtuosity
bokhutlo end
bokimakima obesity
bokoa asthenia
bokoa weakness
bokoloniale colonialism
bokomonisi communism
bokone north
bokonebophirima north-west
bokonebotlhaba north-east
bokwaledi secretariat
bokwalelarala stagecraft
bokwapele foreground
boladu pus
bolaya kill
boleele height
boleele length
boleelekhubu wavelength
bolekanyetso scope
bolekgolo hundredth
bolekgolong percentage
bolelolelo white-hot
boleng quality
boleng value
bolengpalo value
bolengtlhole toxicity
bolepamelemo pharmacology
bolepatlhole toxicology
bolepulele agar
boloka save
boloka store
bolokhutlwana baseball
boloko block
bolonolo softball
bolorelo ashpit
bolotsa deploy
bolwetse disease
bolwetsekhupelo asthma
bomoarafe ethnicity
bonana puberty
bonatsang transparent
bonelapele predict
bonetetshi science
bong gender
bong sex
bongola moist
bongola moisture
bongwana childhood
bonolo easy
bonolo gentle
bonolo gently
bonolo simple
bontlonngwe unicameralism
bontlopedi bicameralism
bonto bond
bontsha display
bontsha mirroring
bontsho black
bontsi crowd
bontsiphetelela overpopulated
bopa form
bopa shape
bopa shaping
bopaki evidence
bopega malleable
bophara breadth
bophara width
bophelophepa hygiene
bophiri confidentiality
bophiri privacy
bophiri secrecy
bopopota hardness
bora bow
boradikgang media
boraladikago architecture
borapelelo shrine
boreisi brace
borekhu lacquer
borekhu resin
borere mucus
borethe fine
borethe smooth
boro drill
borobedi eighth
borongwa mission
borothopate sandwich
borutegi qualification
borwa south
borwabophirima south-west
borwabotlhaba south-east
bosa weather
bosagelo sawmill
bosakhutleng eternal
boselennere cylindrical
bosenyi crime
bosetšhaba national
bosiamisi justice
bosigo night
bosigo nocturnal
bosigogare midnight
bosika gene
bosima adolescence
bosisi sensitive
bosošiale socialism
boswa fungus
boswadisele necrosis
boswafe albinism
botagwa alcoholism
botala green
boteng depth
bothale lead
bothale wire
bothito warmth
botho humanity
botho humility
bothuthusetso hatchery
botlalo detail
botlase bottom
botlhabatsatsi east
botlhale wisdom
botlhale wise
botlhami creativity
botlhano fifth
botlhaologo solubility
botlhaswa reckless
botlhatswetso laundry
botlhofo light
botlhogisetso nursery
botlhokomedi whippery
botlhokwa essential
botlhole toxic
botlhole toxin
botlholelwantle exotoxin
botlholemethapo neurotoxin
botlholephilo nephrotoxin
botlholesele cytotoxin
botlolo bottle
botofatla fascia
botopetlela chipboard
botsa ask
botsadi parental
botsalo birth
botseno access
botseno inlet
botseno portal
botsetsepelo conservatism
botshelo life
botshwaratlotlo treasury
botswai salinity
botšhonisi usury
boȏpa infertility
bronkhaetisi bronchitis
budule ripe
buisana communicate
buisana discuss
bukatiro workbook
bukatsatsi diary
bupe meal
deri dairy
diaparo outfit
diatleletiki athletics
dibaketiria bacterium
didiriswakago hardware
digagabi lizard
digwata roughage
diikaegi heterotrophic
dijo food
dijo foodstuff
dijotshegare lunch
dikabo caulking
dikaganyetsa surround
dikerii degree
dikgakologo spring
dikgare wreath
dikgomo cattle
dikodu tonsil
dikodu tonsillitis
dikologa around
dikologa spin
dikolosa circulate
dikolosa twirl
dilalelo dinner
dimela flora
dimela vegetation
dinakana antenna
dinakana panpipe
dintshwana cutlery
dipalo arithmetic
dipeelo conditions
diphetogo transformation
diphofa plumage
dipholô result
dipoletiki politics
dipone lighting
dipotsomalepa quiz
dipotsopatlisiso questionnaire
dira function
dira make
dira process
diragatsa act
diragatsa implement
diragatsa perform
direga react
dirisa manipulate
dirisa spend
dirisa use
diromelwantle export
diromelwantle exports
diromelwateng imports
disele diesel
ditedu beard
dithapelo prayer
dithorophitlholo cereal
dithulelo roof
ditlamorago consequence
ditlhopho election
ditsamaiso proceedings
ditshenyegelo expenditure
ditshireletso securities
duela pay
duela spend
dula-ema sit-up
dulafatsa pollinate
edifatsa liquidise
edisa propagate
efederaene ephedrine
ege harrow
eiye onion
eka betray
elama brood
eleketerolaete electrolyte
elemente element
emela represent
emelense ambulance
emisetsa displace
emisetsa substitute
emphule ampoule
enke ink
epa burrow
epa dig
epa mine
eritheromaesine erythromycin
esetere ester
esiti acid
eta journey
ethimola sneeze
faelekaedi directory
falafala grate
falola pass
fank funk
fantisi auction
fapoga branch
farologana differ
farologanya differentiate
fata scratch
fedisa abolish
feie fig
feile woodfile
fekese fax
feleletsa finish
felelwa falter
feletse complete
fenitšha furniture
feta exceed
fetisa transmit
fetlha generate
fetola convert
fetolela convert
fetsa complete
fifatsa shade
fisika physics
fitlhelela achieve
fitlhelela obtain
fofa fly
foka blow
fokopedi palindrome
fokotsa decrease
folaga flag
folentšhe flange
fologela descend
folukhonasole Diflucan
fomaldehaede formaldehyde
foramo forum
foroko fork
fosagetse incorrect
foseforase phosphorus
fosofeiti phosphate
foya foyer
friskho fresco
fudusa evacuate
fuduwa stir
fufula perspire
fula graze
furu fodder
furu hay
gabura gnaw
gagola tear
gaisana contest
gakolosa melt
gakwafatsa crystallisation
galase glass
gana reject
ganana repel
gangwe once
gape again
gasa transmit
gase gas
gatelela exert
gatisa trace
go to
gobua wade
godimo above
godimo high
godimo up
godisa magnify
goeletsa proclaim
goga debit
goga pull
gogela attract
gokaganya interface
gola grow
golofetse handicapped
goma plating
gompieno today
gonyela retract
gotlhola cough
gôna snort
haepothalamase hypothalamus
haeterojene hydrogen
hangara hanger
haose house
haraka rake
heketolitara hectolitre
hema breathe
heroine heroin
hisetori history
histamaene histamine
hoko fowl-run
homoune hormone
hotele hotel
hupetsa smother
ikanyega faithful
ikarabelang accountable
