language,fraction,subset_tokens,method,en_baseline_f1,precision,recall,f1,bli_p5,cka,n_anchors,vecmap_coverage
zul,1.0,1492100,CCA,0.7518,0.0061,0.0068,0.0064,0.004,0.1445,1000,
zul,1.0,1492100,KCCA,0.7518,0.0047,0.0083,0.006,0.0,0.1445,1000,
zul,1.0,1492100,VecMap,0.7518,0.0018,0.001,0.0013,0.0,,102944,0.7733
zul,0.75,1119082,CCA,0.7518,0.0048,0.0026,0.0034,0.004,0.0946,1000,
zul,0.75,1119082,KCCA,0.7518,0.0065,0.0261,0.0104,0.0,0.0946,1000,
zul,0.75,1119082,VecMap,0.7518,0.0024,0.001,0.0015,0.0,,82925,0.7569
zul,0.5,746050,CCA,0.7518,0.0066,0.012,0.0086,0.001,0.1014,1000,
zul,0.5,746050,KCCA,0.7518,0.0,0.0,0.0,0.0,0.1014,1000,
zul,0.5,746050,VecMap,0.7518,0.001,0.0005,0.0007,0.0029,,60318,0.7301
zul,0.25,373038,CCA,0.7518,0.0031,0.0052,0.0039,0.003,0.0987,1000,
zul,0.25,373038,KCCA,0.7518,0.0,0.0,0.0,0.001,0.0987,1000,
zul,0.25,373038,VecMap,0.7518,0.0039,0.0016,0.0022,0.0,,34782,0.6811
zul,0.1,149216,CCA,0.7518,0.0099,0.0083,0.0091,0.003,0.106,1000,
zul,0.1,149216,KCCA,0.7518,0.0057,0.0688,0.0105,0.001,0.106,1000,
zul,0.1,149216,VecMap,0.7518,0.0027,0.001,0.0015,0.0,,16003,0.6062
zul,0.05,74639,CCA,0.7518,0.0053,0.0047,0.005,0.004,0.1147,1000,
zul,0.05,74639,KCCA,0.7518,0.0,0.0,0.0,0.001,0.1147,1000,
zul,0.05,74639,VecMap,0.7518,0.0085,0.0021,0.0033,0.0,,8607,0.5486
nso,1.0,2177442,CCA,0.7518,0.0009,0.0011,0.001,0.008,0.1549,1000,
nso,1.0,2177442,KCCA,0.7518,0.001,0.0006,0.0007,0.0,0.1549,1000,
nso,1.0,2177442,VecMap,0.7518,0.0254,0.011,0.0154,0.0,,47319,0.9724
nso,0.75,1633107,CCA,0.7518,0.021,0.022,0.0215,0.005,0.1219,1000,
nso,0.75,1633107,KCCA,0.7518,0.0,0.0,0.0,0.0,0.1219,1000,
nso,0.75,1633107,VecMap,0.7518,0.0166,0.0044,0.007,0.0,,38933,0.9667
nso,0.5,1088730,CCA,0.7518,0.0046,0.0072,0.0056,0.004,0.1131,1000,
nso,0.5,1088730,KCCA,0.7518,0.0,0.0,0.0,0.0,0.1131,1000,
nso,0.5,1088730,VecMap,0.7518,0.0014,0.0006,0.0008,0.0,,29589,0.9577
nso,0.25,544362,CCA,0.7518,0.0531,0.0237,0.0327,0.003,0.108,1000,
nso,0.25,544362,KCCA,0.7518,0.0007,0.0006,0.0006,0.0,0.108,1000,
nso,0.25,544362,VecMap,0.7518,0.0031,0.0044,0.0036,0.0,,18377,0.9414
nso,0.1,217751,CCA,0.7518,0.0007,0.0011,0.0008,0.001,0.1264,1000,
nso,0.1,217751,KCCA,0.7518,0.0088,0.0688,0.0156,0.0,0.1264,1000,
nso,0.1,217751,VecMap,0.7518,0.0118,0.0072,0.0089,0.0,,9725,0.9075
nso,0.05,108936,CCA,0.7518,0.006,0.005,0.0054,0.003,0.1351,1000,
nso,0.05,108936,KCCA,0.7518,0.1304,0.0017,0.0033,0.0,0.1351,1000,
nso,0.05,108936,VecMap,0.7518,0.0022,0.0022,0.0022,0.0,,5867,0.881
tsn,1.0,1262510,CCA,0.7518,0.0112,0.0146,0.0127,0.003,0.1441,1000,
tsn,1.0,1262510,KCCA,0.7518,0.0033,0.0153,0.0054,0.001,0.1441,1000,
tsn,1.0,1262510,VecMap,0.7518,0.0062,0.002,0.003,0.0,,31483,0.9182
tsn,0.75,947002,CCA,0.7518,0.0359,0.0239,0.0287,0.003,0.1089,1000,
tsn,0.75,947002,KCCA,0.7518,0.0006,0.0013,0.0008,0.0,0.1089,1000,
tsn,0.75,947002,VecMap,0.7518,0.002,0.0013,0.0016,0.0,,26294,0.9138
tsn,0.5,631281,CCA,0.7518,0.02,0.012,0.015,0.005,0.1087,1000,
tsn,0.5,631281,KCCA,0.7518,0.0,0.0,0.0,0.0,0.1087,1000,
tsn,0.5,631281,VecMap,0.7518,0.0,0.0,0.0,0.0,,20111,0.901
tsn,0.25,315664,CCA,0.7518,0.0145,0.012,0.0131,0.003,0.1098,1000,
tsn,0.25,315664,KCCA,0.7518,0.0054,0.004,0.0046,0.0,0.1098,1000,
tsn,0.25,315664,VecMap,0.7518,0.0,0.0,0.0,0.0,,12561,0.8784
tsn,0.1,126314,CCA,0.7518,0.0,0.0,0.0,0.003,0.1173,1000,
tsn,0.1,126314,KCCA,0.7518,0.0,0.0,0.0,0.0,0.1173,1000,
tsn,0.1,126314,VecMap,0.7518,0.0024,0.0013,0.0017,0.0,,6525,0.8421
tsn,0.05,63130,CCA,0.7518,0.0034,0.0007,0.0011,0.006,0.126,1000,
tsn,0.05,63130,KCCA,0.7518,0.0,0.0,0.0,0.0,0.126,1000,
tsn,0.05,63130,VecMap,0.7518,0.0091,0.0053,0.0067,0.0,,3918,0.8133
