language,fraction,subset_tokens,method,en_baseline_f1,precision,recall,f1,bli_p5,cka,n_anchors,vecmap_coverage
zul,1.0,1492100,CCA,0.7619,0.0041,0.0047,0.0044,0.002,0.1475,1000,
zul,1.0,1492100,KCCA,0.7619,0.0017,0.0026,0.002,0.001,0.0637,1000,
zul,1.0,1492100,VecMap,0.7619,0.0021,0.001,0.0014,0.2933,0.3711,102944,0.7733
zul,0.75,1119082,CCA,0.7619,0.0087,0.012,0.0101,0.002,0.1441,1000,
zul,0.75,1119082,KCCA,0.7619,0.0029,0.0026,0.0027,0.0,0.0622,1000,
zul,0.75,1119082,VecMap,0.7619,0.0046,0.001,0.0017,0.2806,0.367,82925,0.7569
zul,0.5,746050,CCA,0.7619,0.0077,0.0099,0.0087,0.0,0.1326,1000,
zul,0.5,746050,KCCA,0.7619,0.0,0.0,0.0,0.0,0.0433,1000,
zul,0.5,746050,VecMap,0.7619,0.0012,0.0005,0.0007,0.3079,0.3466,60318,0.7301
zul,0.25,373038,CCA,0.7619,0.0014,0.0021,0.0017,0.002,0.1224,1000,
zul,0.25,373038,KCCA,0.7619,0.0012,0.0005,0.0007,0.0,0.044,1000,
zul,0.25,373038,VecMap,0.7619,0.0041,0.0016,0.0023,0.3178,0.3307,34782,0.6811
zul,0.1,149216,CCA,0.7619,0.0029,0.0031,0.003,0.001,0.1009,1000,
zul,0.1,149216,KCCA,0.7619,0.002,0.0005,0.0008,0.0,0.043,1000,
zul,0.1,149216,VecMap,0.7619,0.0132,0.0047,0.0069,0.367,0.3351,16003,0.6062
zul,0.05,74639,CCA,0.7619,0.0043,0.0052,0.0047,0.001,0.0861,1000,
zul,0.05,74639,KCCA,0.7619,0.0007,0.0005,0.0006,0.001,0.0455,1000,
zul,0.05,74639,VecMap,0.7619,0.0056,0.0026,0.0036,0.3955,0.3827,8607,0.5486
nso,1.0,2177442,CCA,0.7619,0.0035,0.0061,0.0045,0.006,0.1618,1000,
nso,1.0,2177442,KCCA,0.7619,0.0084,0.0077,0.008,0.0,0.0907,1000,
nso,1.0,2177442,VecMap,0.7619,0.002,0.0017,0.0018,0.2454,0.3697,47319,0.9724
nso,0.75,1633107,CCA,0.7619,0.0107,0.0171,0.0132,0.004,0.1555,1000,
nso,0.75,1633107,KCCA,0.7619,0.001,0.0006,0.0007,0.0,0.0836,1000,
nso,0.75,1633107,VecMap,0.7619,0.0013,0.0011,0.0012,0.2259,0.3707,38933,0.9667
nso,0.5,1088730,CCA,0.7619,0.027,0.0248,0.0258,0.002,0.157,1000,
nso,0.5,1088730,KCCA,0.7619,0.0093,0.0193,0.0126,0.001,0.0896,1000,
nso,0.5,1088730,VecMap,0.7619,0.0,0.0,0.0,0.2553,0.366,29589,0.9577
nso,0.25,544362,CCA,0.7619,0.015,0.0281,0.0196,0.001,0.1451,1000,
nso,0.25,544362,KCCA,0.7619,0.0082,0.0094,0.0087,0.0,0.0718,1000,
nso,0.25,544362,VecMap,0.7619,0.0015,0.0006,0.0008,0.2343,0.355,18377,0.9414
nso,0.1,217751,CCA,0.7619,0.0534,0.0303,0.0387,0.001,0.1242,1000,
nso,0.1,217751,KCCA,0.7619,0.0042,0.0099,0.0059,0.001,0.0567,1000,
nso,0.1,217751,VecMap,0.7619,0.0018,0.0006,0.0008,0.2369,0.323,9725,0.9075
nso,0.05,108936,CCA,0.7619,0.0117,0.0022,0.0037,0.0,0.0777,1000,
nso,0.05,108936,KCCA,0.7619,0.0214,0.0198,0.0206,0.0,0.0503,1000,
nso,0.05,108936,VecMap,0.7619,0.016,0.0072,0.0099,0.1765,0.2979,5867,0.881
tsn,1.0,1262510,CCA,0.7619,0.0129,0.0266,0.0174,0.003,0.1548,1000,
tsn,1.0,1262510,KCCA,0.7619,0.0043,0.0027,0.0033,0.0,0.078,1000,
tsn,1.0,1262510,VecMap,0.7619,0.0,0.0,0.0,0.2111,0.3568,31483,0.9182
tsn,0.75,947002,CCA,0.7619,0.0471,0.0704,0.0564,0.001,0.147,1000,
tsn,0.75,947002,KCCA,0.7619,0.0113,0.1116,0.0205,0.0,0.0973,1000,
tsn,0.75,947002,VecMap,0.7619,0.0132,0.008,0.0099,0.1917,0.3622,26294,0.9138
tsn,0.5,631281,CCA,0.7619,0.0082,0.0199,0.0116,0.002,0.1408,1000,
tsn,0.5,631281,KCCA,0.7619,0.0047,0.0013,0.0021,0.0,0.0707,1000,
tsn,0.5,631281,VecMap,0.7619,0.0031,0.0027,0.0029,0.2085,0.3453,20111,0.901
tsn,0.25,315664,CCA,0.7619,0.0064,0.012,0.0084,0.003,0.1252,1000,
tsn,0.25,315664,KCCA,0.7619,0.0066,0.0113,0.0083,0.001,0.0645,1000,
tsn,0.25,315664,VecMap,0.7619,0.0028,0.0027,0.0027,0.1905,0.3286,12561,0.8784
tsn,0.1,126314,CCA,0.7619,0.0255,0.0312,0.0281,0.002,0.0901,1000,
tsn,0.1,126314,KCCA,0.7619,0.0003,0.0007,0.0004,0.0,0.0568,1000,
tsn,0.1,126314,VecMap,0.7619,0.0029,0.0013,0.0018,0.1991,0.3269,6525,0.8421
tsn,0.05,63130,CCA,0.7619,0.0,0.0,0.0,0.0,0.052,1000,
tsn,0.05,63130,KCCA,0.7619,0.0067,0.0173,0.0097,0.0,0.0364,1000,
tsn,0.05,63130,VecMap,0.7619,0.0219,0.008,0.0117,0.0952,0.3091,3918,0.8133
